# Stability checks for fixed-tp Y2 shape ansaetze
# model global_rel loo_holdout_rel loo_holdout_p95 pred_spread_mean pred_spread_max
log_hilltop_plus_const 5.1787692977e-03 1.4056849602e-02 2.6724838598e-02 3.0905030933e-03 6.9800808565e-03
# param roughness sign_changes mean_jk_std
c0 5.9486179429e+00 18 1.8060327515e-02
A 1.9541275148e+00 2 1.7598557206e-02
alpha 2.0301762570e+00 0 3.1533723062e-02
# tp holdout_rel_rmse pred_rel_spread_mean c0_jk_std A_jk_std alpha_jk_std
5.4857964815e-01 8.4684372327e-03 2.3757539148e-03 1.1699910244e-02 9.2677474603e-03 1.7639702300e-02
5.5169914951e-01 8.4594596530e-03 2.3725506309e-03 1.1608323049e-02 9.1959348086e-03 1.7635592473e-02
5.5483638994e-01 8.4457484740e-03 2.3680052937e-03 1.1510790595e-02 9.1191831938e-03 1.7620712751e-02
5.5799147030e-01 8.4351015987e-03 2.3643227153e-03 1.1418503029e-02 9.0467137906e-03 1.7612898365e-02
5.6116449205e-01 8.4242394872e-03 2.3605769320e-03 1.1326839199e-02 8.9747474628e-03 1.7604745579e-02
5.6435555720e-01 8.4139109179e-03 2.3569777418e-03 1.1236726789e-02 8.9040145710e-03 1.7597851635e-02
5.6756476836e-01 8.4054068109e-03 2.3538902805e-03 1.1150012885e-02 8.8360607756e-03 1.7595259443e-02
5.7079222872e-01 8.3935020329e-03 2.3498397356e-03 1.1059391198e-02 8.7648520485e-03 1.7584941898e-02
5.7403804206e-01 8.3789508385e-03 2.3450391847e-03 1.0965922213e-02 8.6912435472e-03 1.7568551730e-02
5.7730231273e-01 8.3695018895e-03 2.3416749528e-03 1.0880366088e-02 8.6241525907e-03 1.7564048060e-02
5.8058514569e-01 8.3625439625e-03 2.3390088483e-03 1.0798986542e-02 8.5604833728e-03 1.7565389234e-02
5.8388664650e-01 8.3489481734e-03 2.3344658333e-03 1.0709384923e-02 8.4900505890e-03 1.7551755827e-02
5.8720692132e-01 8.3347610050e-03 2.3297568032e-03 1.0619815379e-02 8.4195436846e-03 1.7536547366e-02
5.9054607690e-01 8.3250009181e-03 2.3262909704e-03 1.0537004917e-02 8.3545967599e-03 1.7531669731e-02
5.9390422060e-01 8.3154209692e-03 2.3228715728e-03 1.0455147816e-02 8.2903933375e-03 1.7527245764e-02
5.9728146041e-01 8.3036402650e-03 2.3188308299e-03 1.0371219484e-02 8.2244667335e-03 1.7517885584e-02
6.0067790492e-01 8.2933830349e-03 2.3152141101e-03 1.0289993742e-02 8.1607239822e-03 1.7512063473e-02
6.0409366332e-01 8.2795807187e-03 2.3105989734e-03 1.0204961961e-02 8.0938144542e-03 1.7498145536e-02
6.0752884546e-01 8.2669727487e-03 2.3063163760e-03 1.0122261783e-02 8.0287998313e-03 1.7487064496e-02
6.1098356177e-01 8.2596976281e-03 2.3035268633e-03 1.0047151108e-02 7.9700321104e-03 1.7488447332e-02
6.1445792336e-01 8.2492938057e-03 2.2998557831e-03 9.9687385445e-03 7.9085018250e-03 1.7482646350e-02
6.1795204192e-01 8.2329449897e-03 2.2945155219e-03 9.8835762007e-03 7.8413648773e-03 1.7463128774e-02
